date,year,pred,actual
2014-01-02,2014,-1.2554084906403051,-2.614675809923672
2014-01-03,2014,-1.9650233618967081,-1.8088021585343284
2014-01-06,2014,-1.412347902387498,-0.8170578622848756
2014-01-07,2014,-1.3824623277647015,-0.01679921995229039
2014-01-08,2014,-1.8047665457980684,-1.0321399811360599
2014-01-09,2014,-1.3610146732915276,-0.011744422573722879
2014-01-10,2014,-0.7503719025017668,-0.11489738373968716
2014-01-13,2014,-0.14146034418923384,-0.11638766314119309
2014-01-14,2014,-0.6820977895830029,0.3377342907346037
2014-01-15,2014,-0.8417735492288235,-0.90589418253888
2014-01-16,2014,-1.243084163122496,-0.1190184519240911
2014-01-17,2014,-0.930639142005209,-0.41170311772916746
2014-01-20,2014,-0.9674449762145564,-0.5328502034434468
2014-01-21,2014,-0.6999842251218321,0.011162920499097062
2014-01-22,2014,-1.107753166432776,0.1655594588014342
2014-01-23,2014,-1.1076015605212135,0.0800456073809297
2014-01-24,2014,-1.0028462548655321,-0.5090535233086335
2014-01-27,2014,-0.3021466222440488,2.013100039349758
2014-02-05,2014,0.26522962747865486,5.436639691789447
2014-02-06,2014,-0.20956561759060133,4.848387861403114
2014-02-07,2014,-0.47239587758015106,3.3132038128848684
2014-02-10,2014,-0.12435251547038746,3.6985444384201482
2014-02-11,2014,-0.37805020705348813,3.014864967451758
2014-02-12,2014,-0.5775740110263613,2.7837342128360643
2014-02-13,2014,-0.3112849733437316,2.5972814341556516
2014-02-14,2014,-0.31418913351326017,2.1896524182257293
2014-02-17,2014,-0.3743645693677132,2.4929720466456695
2014-02-18,2014,-0.3520078168092954,1.5571110173522529
2014-02-19,2014,-0.10435186428495287,0.2369123972106868
2014-02-20,2014,0.06270342952020186,0.6164497655027246
2014-02-21,2014,-0.1820186361231919,0.04092138211966301
2014-02-24,2014,-0.1588807444739441,1.503280724153977
2014-02-25,2014,0.22559464567890347,1.8849949041585212
2014-02-26,2014,0.15012484879323887,2.077815474266509
2014-02-27,2014,0.37702980196923624,1.563270436757347
2014-03-03,2014,1.183082680848785,2.8749194952790047
2014-03-04,2014,0.9471912166879392,3.7244550846684765
2014-03-05,2014,0.46566629231012485,3.156749794102365
2014-03-06,2014,0.34335755097267834,2.0054419489108577
2014-03-07,2014,-0.040402681388918976,1.864594283196186
2014-03-10,2014,0.11870234336421888,2.573615964474163
2014-03-11,2014,-0.7938956350845363,2.6227458623150346
2014-03-12,2014,-0.8463300594868761,3.032564052077613
2014-03-13,2014,-0.3537516400710781,1.8320055694066584
2014-03-14,2014,0.25851485115547657,1.9543880206684738
2014-03-17,2014,0.3617800183939621,2.4897414972241627
2014-03-18,2014,-0.2226522681487048,2.1974498221471794
2014-03-19,2014,0.636252751303506,2.931137262844885
2014-03-20,2014,0.8812043232326554,4.295868601065678
2014-03-21,2014,0.9475879354439837,4.360645760781234
2014-03-24,2014,0.912505206751583,4.29184998222043
2014-03-25,2014,0.5143266574353476,3.079879852232059
2014-03-26,2014,0.5778307399920412,2.382666439288239
2014-03-27,2014,0.0624220238248759,-0.0620759331037779
2014-03-28,2014,-0.21975785252201133,0.39967451656135466
2014-03-31,2014,-0.4270862210100529,0.25798709047515356
2014-04-01,2014,-1.310857399213343,-0.9208680119236035
2014-04-02,2014,-0.5308463541511312,-0.42816477550264853
2014-04-03,2014,-1.0676789356989267,-0.2037454970107655
2014-04-07,2014,-0.9066563352141422,0.40500470909508035
2014-04-08,2014,-1.3668819560078966,0.05591651899978789
2014-04-09,2014,-1.3663960527100014,0.0036951728725087563
2014-04-10,2014,-1.662563537542102,-0.6527642739799444
2014-04-11,2014,-1.5421695884070705,-1.1162936894157371
